date,state,positive
20200421,MP,14
20200421,MS,4716
20200421,MT,437
20200421,NC,6951
20200421,ND,644
20200421,NE,1648
20200421,NH,1491
20200421,NJ,92387
20200421,NM,1971
20200421,NV,3937
20200421,NY,251690
20200421,OH,13250
20200421,OK,2807
20200421,OR,2002
20200421,PA,34528
20200421,PR,1298
20200421,RI,5500
20200421,SC,4439
20200421,SD,1755
20200421,TN,7394
20200421,TX,20196
20200421,UT,3296
20200421,VA,9630
20200421,VI,54
20200421,VT,818
20200421,WA,12550
20200421,WI,4620
20200421,WV,914
20200421,WY,320
20200420,AK,321
20200420,AL,5025
20200420,AR,1923
20200420,AS,0
20200420,AZ,5064
20200420,CA,30978
20200420,CO,9730
20200420,CT,19815
20200420,DC,2927
20200420,DE,2745
20200420,FL,26660
20200420,GA,18947
20200420,GU,133
20200420,HI,580
20200420,IA,3159
20200420,ID,1672
20200420,IL,31508
20200420,IN,11686
20200420,KS,1986
20200420,KY,2960
20200420,LA,24523
20200420,MA,41416
20200420,MD,13684
20200420,ME,875
20200420,MI,32000
20200420,MN,2470
20200420,MO,5807
20200420,MP,14
20200420,MS,4512
20200420,MT,433
20200420,NC,6764
20200420,ND,627
20200420,NE,1474
20200420,NH,1392
20200420,NJ,88806
20200420,NM,1845
20200420,NV,3830
20200420,NY,247512
20200420,OH,12516
20200420,OK,2680
20200420,OR,1956
20200420,PA,33232
20200420,PR,1252
20200420,RI,5090
20200420,SC,4377
20200420,SD,1685
20200420,TN,7238
20200420,TX,19458
20200420,UT,3213
20200420,VA,8990
20200420,VI,53
20200420,VT,816
20200420,WA,12346
20200420,WI,4499
20200420,WV,902
20200420,WY,313
20200419,AK,319
20200419,AL,4837
20200419,AR,1781
20200419,AS,0
20200419,AZ,4929
20200419,CA,30333
20200419,CO,9433
20200419,CT,17550
20200419,DC,2793
20200419,DE,2538
20200419,FL,25996
20200419,GA,18301
20200419,GU,133
20200419,HI,574
20200419,IA,2902
20200419,ID,1668
20200419,IL,30357
20200419,IN,11210
20200419,KS,1849
20200419,KY,2707
20200419,LA,23928
20200419,MA,39820
20200419,MD,12830
20200419,ME,867
20200419,MI,31424
20200419,MN,2356
20200419,MO,5667
20200419,MP,14
20200419,MS,4274
20200419,MT,433
20200419,NC,6493
20200419,ND,585
20200419,NE,1287
20200419,NH,1342
20200419,NJ,85301
20200419,NM,1798
20200419,NV,3728
20200419,NY,242786
20200419,OH,11292
20200419,OK,2599
20200419,OR,1910
20200419,PA,32284
20200419,PR,1213
20200419,RI,4706
20200419,SC,4377
20200419,SD,1635
20200419,TN,7070
20200419,TX,18923
20200419,UT,3069
20200419,VA,8537
20200419,VI,53
20200419,VT,812
20200419,WA,12146
20200419,WI,4346
20200419,WV,863
20200419,WY,309
20200418,AK,314
20200418,AL,4655
20200418,AR,1739
20200418,AS,0
20200418,AZ,4719
20200418,CA,28963
20200418,CO,9047
20200418,CT,16809
20200418,DC,2666
20200418,DE,2323
20200418,FL,25269
20200418,GA,17669
20200418,GU,133
20200418,HI,553
20200418,IA,2513
20200418,ID,1655
20200418,IL,29160
20200418,IN,10641
20200418,KS,1790
20200418,KY,2522
20200418,LA,23580
20200418,MA,37527
20200418,MD,12308
20200418,ME,847
20200418,MI,30791
20200418,MN,2213
20200418,MO,5517
20200418,MP,14
20200418,MS,3974
20200418,MT,426
20200418,NC,6140
20200418,ND,528
20200418,NE,1138
20200418,NH,1287
20200418,NJ,81420
20200418,NM,1711
20200418,NV,3626
20200418,NY,236732
20200418,OH,9939
20200418,OK,2570
20200418,OR,1844
20200418,PA,31069
20200418,PR,1118
20200418,RI,4491
20200418,SC,4246
20200418,SD,1542
20200418,TN,6762
20200418,TX,18260
20200418,UT,2931
20200418,VA,8053
20200418,VI,53
20200418,VT,803
20200418,WA,11887
20200418,WI,4199
20200418,WV,785
20200418,WY,305
20200417,AK,309
20200417,AL,4530
20200417,AR,1695
20200417,AS,0
20200417,AZ,4507
20200417,CA,27528
20200417,CO,8675
20200417,CT,16809
20200417,DC,2476
20200417,DE,2323
20200417,FL,24119
20200417,GA,17194
20200417,GU,133
20200417,HI,541
20200417,IA,2332
20200417,ID,1609
20200417,IL,27575
20200417,IN,10154
20200417,KS,1705
20200417,KY,2429
20200417,LA,23118
20200417,MA,35125
20200417,MD,11572
20200417,ME,827
20200417,MI,30023
20200417,MN,2071
20200417,MO,5283
20200417,MP,13
20200417,MS,3793
20200417,MT,422
20200417,NC,5859
20200417,ND,439
20200417,NE,1066
20200417,NH,1287
20200417,NJ,78467
20200417,NM,1597
20200417,NV,3524
20200417,NY,229642
20200417,OH,8858
20200417,OK,2465
20200417,OR,1785
20200417,PA,29441
20200417,PR,1068
20200417,RI,4177
20200417,SC,3931
20200417,SD,1411
20200417,TN,6589
20200417,TX,17371
20200417,UT,2805
20200417,VA,7491
20200417,VI,51
20200417,VT,779
20200417,WA,11673
20200417,WI,4045
20200417,WV,754
20200417,WY,296
20200416,AK,300
20200416,AL,4345
20200416,AR,1620
20200416,AS,0
20200416,AZ,4234
20200416,CA,26182
20200416,CO,8280
20200416,CT,15884
20200416,DC,2350
20200416,DE,2075
20200416,FL,22897
20200416,GA,15669
20200416,GU,133
20200416,HI,530
20200416,IA,2141
20200416,ID,1587
20200416,IL,25733
20200416,IN,9542
20200416,KS,1588
20200416,KY,2291
20200416,LA,22532
20200416,MA,32492
20200416,MD,10784
20200416,ME,796
20200416,MI,29263
20200416,MN,1912
20200416,MO,5111
20200416,MP,13
20200416,MS,3624
20200416,MT,415
20200416,NC,5465
20200416,ND,393
20200416,NE,952
20200416,NH,1139
20200416,NJ,75317
20200416,NM,1484
20200416,NV,3321
20200416,NY,222284
20200416,OH,8414
20200416,OK,2357
20200416,OR,1736
20200416,PA,27735
20200416,PR,1043
20200416,RI,3838
20200416,SC,3656
20200416,SD,1311
20200416,TN,6262
20200416,TX,16455
20200416,UT,2683
20200416,VA,6889
20200416,VI,51
20200416,VT,768
20200416,WA,11343
20200416,WI,3875
20200416,WV,739
20200416,WY,296
20200415,AK,293
20200415,AL,4113
20200415,AR,1569
20200415,AS,0
20200415,AZ,3962
20200415,CA,24424
20200415,CO,7941
20200415,CT,14755
20200415,DC,2197
20200415,DE,2014
20200415,FL,22511
20200415,GA,14987
20200415,GU,133
20200415,HI,517
20200415,IA,1995
20200415,ID,1464
20200415,IL,24593
20200415,IN,8955
20200415,KS,1494
20200415,KY,2210
20200415,LA,21951
20200415,MA,29970
20200415,MD,10032
20200415,ME,770
20200415,MI,28059
20200415,MN,1809
20200415,MO,4895
20200415,MP,13
20200415,MS,3360
20200415,MT,404
20200415,NC,5123
20200415,ND,365
20200415,NE,901
20200415,NH,1139
20200415,NJ,71030
20200415,NM,1407
20200415,NV,3211
20200415,NY,213779
20200415,OH,7791
20200415,OK,2263
20200415,OR,1663
20200415,PA,26490
20200415,PR,974
20200415,RI,3529
20200415,SC,3656
20200415,SD,1168
20200415,TN,6079
20200415,TX,15492
20200415,UT,2542
20200415,VA,6500
20200415,VI,51
20200415,VT,759
20200415,WA,11100
20200415,WI,3721
20200415,WV,702
20200415,WY,287
20200414,AK,285
20200414,AL,3876
20200414,AR,1480
20200414,AS,0
20200414,AZ,3806
20200414,CA,23338
20200414,CO,7691
20200414,CT,13989
20200414,DC,2058
20200414,DE,1761
20200414,FL,21367
20200414,GA,14223
20200414,GU,133
20200414,HI,504
20200414,IA,1899
20200414,ID,1453
20200414,IL,23247
20200414,IN,8527
20200414,KS,1426
20200414,KY,2048
20200414,LA,21518
20200414,MA,28109
20200414,MD,9472
20200414,ME,734
20200414,MI,27001
20200414,MN,1695
20200414,MO,4686
20200414,MP,13
20200414,MS,3087
20200414,MT,399
20200414,NC,5024
20200414,ND,341
20200414,NE,871
20200414,NH,1020
20200414,NJ,68824
20200414,NM,1345
20200414,NV,3088
20200414,NY,202208
20200414,OH,7153
20200414,OK,2184
20200414,OR,1633
20200414,PA,25345
20200414,PR,923
20200414,RI,3251
20200414,SC,3553
20200414,SD,988
20200414,TN,5823
20200414,TX,14624
20200414,UT,2412
20200414,VA,6171
20200414,VI,51
20200414,VT,752
20200414,WA,10789
20200414,WI,3555
20200414,WV,640
20200414,WY,275
20200413,AK,277
20200413,AL,3734
20200413,AR,1410
20200413,AS,0
20200413,AZ,3702
20200413,CA,22348
20200413,CO,7684
20200413,CT,13381
20200413,DC,1955
20200413,DE,1625
20200413,FL,20601
20200413,GA,13315
20200413,GU,133
20200413,HI,499
20200413,IA,1710
20200413,ID,1426
20200413,IL,22025
20200413,IN,8236
20200413,KS,1376
20200413,KY,1963
20200413,LA,21016
20200413,MA,26794
20200413,MD,8936
20200413,ME,698
20200413,MI,25635
20200413,MN,1650
20200413,MO,4388
20200413,MP,11
20200413,MS,2942
20200413,MT,394
20200413,NC,4816
20200413,ND,331
20200413,NE,814
20200413,NH,985
20200413,NJ,64584
20200413,NM,1245
20200413,NV,2971
20200413,NY,195031
20200413,OH,6975
20200413,OK,2069
20200413,OR,1584
20200413,PA,24199
20200413,PR,903
20200413,RI,2976
20200413,SC,3319
20200413,SD,868
20200413,TN,5610
20200413,TX,13906
20200413,UT,2363
20200413,VA,5747
20200413,VI,51
20200413,VT,748
20200413,WA,10587
20200413,WI,3428
20200413,WV,626
20200413,WY,275
20200412,AK,272
20200412,AL,3525
20200412,AR,1280
20200412,AS,0
20200412,AZ,3539
20200412,CA,21794
20200412,CO,6893
20200412,CT,12035
20200412,DC,1875
20200412,DE,1479
20200412,FL,19355
20200412,GA,12452
20200412,GU,133
20200412,HI,486
20200412,IA,1587
20200412,ID,1407
20200412,IL,20852
20200412,IN,7928
20200412,KS,1337
20200412,KY,1840
20200412,LA,20595
20200412,MA,25381
20200412,MD,8225
20200412,ME,633
20200412,MI,24638
20200412,MN,1621
20200412,MO,4160
20200412,MP,11
20200412,MS,2781
20200412,MT,387
20200412,NC,4520
20200412,ND,308
20200412,NE,791
20200412,NH,929
20200412,NJ,61850
20200412,NM,1174
20200412,NV,2836
20200412,NY,188694
20200412,OH,6604
20200412,OK,1970
20200412,OR,1527
20200412,PA,22833
20200412,PR,897
20200412,RI,2665
20200412,SC,3319
20200412,SD,730
20200412,TN,5308
20200412,TX,13484
20200412,UT,2303
20200412,VA,5274
20200412,VI,51
20200412,VT,727
20200412,WA,10398
20200412,WI,3341
20200412,WV,611
20200412,WY,261
20200411,AK,257
20200411,AL,3191
20200411,AR,1226
