date,state,positive
331,LA,5237
331,MA,6620
331,MD,1660
331,ME,303
331,MI,11875
331,MN,629
331,MO,1327
331,MP,2
331,MS,937
331,MT,184
331,NC,1498
331,ND,126
331,NE,172
331,NH,314
331,NJ,18696
331,NM,281
331,NV,1113
331,NY,75795
331,OH,2199
331,OK,565
331,OR,690
331,PA,4843
331,PR,239
331,RI,489
331,SC,1083
331,SD,108
331,TN,2239
331,TX,3266
331,UT,887
331,VA,1250
331,VI,30
331,VT,293
331,WA,6030
331,WI,1351
331,WV,162
331,WY,109
330,AK,114
330,AL,859
330,AR,473
330,AS,
330,AZ,1157
330,CA,6447
330,CO,2627
330,CT,2571
330,DC,401
330,DE,264
330,FL,5473
330,GA,2809
330,GU,58
330,HI,175
330,IA,424
330,ID,310
330,IL,5057
330,IN,1786
330,KS,368
330,KY,439
330,LA,4025
330,MA,5752
330,MD,1413
330,ME,275
330,MI,10901
330,MN,576
330,MO,1031
330,MP,2
330,MS,847
330,MT,171
330,NC,1307
330,ND,109
330,NE,145
330,NH,314
330,NJ,16636
330,NM,237
330,NV,1008
330,NY,66497
330,OH,1933
330,OK,481
330,OR,606
330,PA,4087
330,PR,174
330,RI,402
330,SC,925
330,SD,101
330,TN,1834
330,TX,2877
330,UT,806
330,VA,1020
330,VI,30
330,VT,256
330,WA,5566
330,WI,1221
330,WV,126
330,WY,94
329,AK,102
329,AL,806
329,AR,426
329,AS,
329,AZ,919
329,CA,5708
329,CO,2061
329,CT,1993
329,DC,342
329,DE,232
329,FL,4246
329,GA,2651
329,GU,56
329,HI,151
329,IA,336
329,ID,261
329,IL,4596
329,IN,1514
329,KS,319
329,KY,394
329,LA,3540
329,MA,4955
329,MD,1239
329,ME,253
329,MI,10010
329,MN,503
329,MO,838
329,MP,2
329,MS,758
329,MT,154
329,NC,1040
329,ND,98
329,NE,108
329,NH,214
329,NJ,13386
329,NM,237
329,NV,738
329,NY,59513
329,OH,1653
329,OK,429
329,OR,548
329,PA,3394
329,PR,127
329,RI,294
329,SC,774
329,SD,90
329,TN,1537
329,TX,2552
329,UT,719
329,VA,890
329,VI,23
329,VT,235
329,WA,5102
329,WI,1112
329,WV,113
329,WY,86
328,AK,85
328,AL,696
328,AR,404
328,AS,
328,AZ,873
328,CA,4643
328,CO,1734
328,CT,1291
328,DC,304
328,DE,214
328,FL,3763
328,GA,2366
328,GU,55
328,HI,120
328,IA,298
328,ID,230
328,IL,3491
328,IN,1232
328,KS,261
328,KY,302
328,LA,3315
328,MA,4257
328,MD,992
328,ME,211
328,MI,9287
328,MN,441
328,MO,838
328,MP,2
328,MS,663
328,MT,129
328,NC,935
328,ND,83
328,NE,96
328,NH,187
328,NJ,11124
328,NM,191
328,NV,621
328,NY,52318
328,OH,1406
328,OK,377
328,OR,479
328,PA,2751
328,PR,100
328,RI,239
328,SC,539
328,SD,68
328,TN,1373
328,TX,2052
328,UT,602
328,VA,739
328,VI,22
328,VT,211
328,WA,4707
328,WI,989
328,WV,96
328,WY,82
327,AK,69
327,AL,587
327,AR,381
327,AS,
327,AZ,736
327,CA,3879
327,CO,1430
327,CT,1291
327,DC,267
327,DE,163
327,FL,2765
327,GA,2001
327,GU,51
327,HI,106
327,IA,235
327,ID,189
327,IL,3026
327,IN,981
327,KS,202
327,KY,248
327,LA,2746
327,MA,3240
327,MD,774
327,ME,168
327,MI,8659
327,MN,398
327,MO,669
327,MP,0
327,MS,579
327,MT,108
327,NC,763
327,ND,65
327,NE,85
327,NH,158
327,NJ,8825
327,NM,136
327,NV,535
327,NY,44635
327,OH,1137
327,OK,322
327,OR,414
327,PA,2218
327,PR,79
327,RI,203
327,SC,456
327,SD,58
327,TN,1203
327,TX,1731
327,UT,480
327,VA,604
327,VI,19
327,VT,184
327,WA,4238
327,WI,842
327,WV,76
327,WY,70
326,AK,59
326,AL,506
326,AR,335
326,AS,
326,AZ,577
326,CA,3006
326,CO,1086
326,CT,1012
326,DC,231
326,DE,130
326,FL,2355
326,GA,1525
326,GU,45
326,HI,95
326,IA,179
326,ID,123
326,IL,2538
326,IN,645
326,KS,168
326,KY,198
326,LA,2305
326,MA,2417
326,MD,580
326,ME,155
326,MI,7767
326,MN,346
326,MO,502
326,MP,0
326,MS,485
326,MT,71
326,NC,636
326,ND,52
326,NE,73
326,NH,137
326,NJ,6876
326,NM,112
326,NV,420
326,NY,37258
326,OH,867
326,OK,248
326,OR,327
326,PA,1687
326,PR,64
326,RI,165
326,SC,456
326,SD,46
326,TN,957
326,TX,1396
326,UT,402
326,VA,460
326,VI,17
326,VT,158
326,WA,3745
326,WI,707
326,WV,51
326,WY,53
325,AK,42
325,AL,283
325,AR,280
325,AS,
325,AZ,450
325,CA,2355
325,CO,912
325,CT,875
325,DC,183
325,DE,115
325,FL,1682
325,GA,1247
325,GU,37
325,HI,90
325,IA,145
325,ID,73
325,IL,1865
325,IN,477
325,KS,126
325,KY,157
325,LA,1795
325,MA,1838
325,MD,423
325,ME,149
325,MI,7060
325,MN,287
325,MO,356
325,MP,0
325,MS,377
325,MT,53
325,NC,504
325,ND,39
325,NE,61
325,NH,108
325,NJ,4402
325,NM,100
325,NV,321
325,NY,30811
325,OH,704
325,OK,164
325,OR,209
325,PA,1127
325,PR,51
325,RI,132
325,SC,424
325,SD,41
325,TN,784
325,TX,974
325,UT,346
325,VA,391
325,VI,17
325,VT,123
325,WA,3275
325,WI,585
325,WV,39
325,WY,44
324,AK,36
324,AL,215
324,AR,218
324,AS,
324,AZ,357
324,CA,2102
324,CO,720
324,CT,618
324,DC,137
324,DE,91
324,FL,1412
324,GA,1026
324,GU,32
324,HI,77
324,IA,124
324,ID,50
324,IL,1535
324,IN,365
324,KS,98
324,KY,124
324,LA,1388
324,MA,1159
324,MD,349
324,ME,125
324,MI,1791
324,MN,262
324,MO,183
324,MP,0
324,MS,320
324,MT,46
324,NC,398
324,ND,34
324,NE,52
324,NH,101
324,NJ,3675
324,NM,83
324,NV,278
324,NY,25665
324,OH,564
324,OK,106
324,OR,209
324,PA,851
324,PR,39
324,RI,124
324,SC,298
324,SD,30
324,TN,667
324,TX,410
324,UT,299
324,VA,290
324,VI,17
324,VT,95
324,WA,2823
324,WI,457
324,WV,20
324,WY,29
323,AK,22
323,AL,167
323,AR,174
323,AS,
323,AZ,265
323,CA,1733
323,CO,591
323,CT,415
323,DC,116
323,DE,68
323,FL,1171
323,GA,772
323,GU,29
323,HI,56
323,IA,105
323,ID,47
323,IL,1273
323,IN,259
323,KS,82
323,KY,104
323,LA,1172
323,MA,777
323,MD,288
323,ME,107
323,MI,1328
323,MN,235
323,MO,183
323,MP,0
323,MS,249
323,MT,34
323,NC,297
323,ND,30
323,NE,50
323,NH,78
323,NJ,2844
323,NM,65
323,NV,245
323,NY,20875
323,OH,442
323,OK,81
323,OR,191
323,PA,644
323,PR,31
323,RI,106
323,SC,298
323,SD,28
323,TN,615
323,TX,352
323,UT,257
323,VA,254
323,VI,17
323,VT,75
323,WA,2450
323,WI,416
323,WV,16
323,WY,26
322,AK,22
322,AL,138
322,AR,165
322,AS,
322,AZ,152
322,CA,1536
322,CO,475
322,CT,223
322,DC,98
322,DE,56
322,FL,830
322,GA,600
322,GU,27
322,HI,48
322,IA,90
322,ID,42
322,IL,1049
322,IN,201
322,KS,64
322,KY,99
322,LA,837
322,MA,646
322,MD,244
322,ME,89
322,MI,1035
322,MN,169
322,MO,90
322,MP,0
322,MS,207
322,MT,31
322,NC,255
322,ND,28
322,NE,48
322,NH,65
322,NJ,1914
322,NM,57
322,NV,190
322,NY,15168
322,OH,351
322,OK,67
322,OR,161
322,PA,479
322,PR,23
322,RI,83
322,SC,195
322,SD,21
322,TN,505
322,TX,334
322,UT,181
322,VA,219
322,VI,6
322,VT,52
322,WA,2242
322,WI,385
322,WV,12
322,WY,24
321,AK,14
321,AL,124
321,AR,118
321,AS,
321,AZ,104
321,CA,1279
321,CO,363
321,CT,194
321,DC,77
321,DE,45
321,FL,658
321,GA,507
321,GU,15
321,HI,37
321,IA,68
321,ID,31
321,IL,753
321,IN,126
321,KS,55
321,KY,54
321,LA,585
321,MA,525
321,MD,190
321,ME,73
321,MI,787
321,MN,138
321,MO,73
321,MP,0
321,MS,140
321,MT,20
321,NC,184
321,ND,28
321,NE,38
321,NH,55
321,NJ,1327
321,NM,57
321,NV,124
321,NY,10356
321,OH,247
321,OK,53
321,OR,114
321,PA,371
321,PR,21
321,RI,66
321,SC,152
321,SD,14
321,TN,371
321,TX,304
321,UT,136
321,VA,152
321,VI,6
321,VT,29
321,WA,2006
321,WI,281
321,WV,11
321,WY,23
320,AK,12
320,AL,81
320,AR,96
320,AS,
320,AZ,65
320,CA,1063
320,CO,277
320,CT,194
320,DC,71
320,DE,38
320,FL,520
320,GA,420
320,GU,14
320,HI,26
320,IA,45
320,ID,23
320,IL,585
320,IN,79
320,KS,44
320,KY,47
320,LA,479
320,MA,413
320,MD,149
320,ME,57
320,MI,549
320,MN,115
320,MO,47
320,MP,0
320,MS,80
320,MT,16
320,NC,137
320,ND,20
320,NE,32
320,NH,44
320,NJ,890
320,NM,43
320,NV,109
320,NY,7102
320,OH,169
320,OK,49
320,OR,114
320,PA,268
320,PR,14
320,RI,54
320,SC,81
320,SD,14
320,TN,228
320,TX,194
320,UT,112
320,VA,114
320,VI,3
320,VT,29
320,WA,1773
320,WI,206
320,WV,7
320,WY,19
319,AK,6
319,AL,68
319,AR,46
319,AS,
319,AZ,44
319,CA,924
319,CO,216
319,CT,96
319,DC,39
319,DE,30
319,FL,390
319,GA,287
319,GU,12
319,HI,16
319,IA,38
319,ID,11
319,IL,422
319,IN,56
319,KS,34
319,KY,35
319,LA,347
319,MA,328
319,MD,107
319,ME,53
319,MI,336
319,MN,89
319,MO,24
319,MP,0
319,MS,50
319,MT,12
319,NC,97
319,ND,15
319,NE,27
319,NH,39
319,NJ,742
319,NM,35
319,NV,95
319,NY,4152
319,OH,119
319,OK,44
319,OR,88
319,PA,185
319,PR,5
319,RI,44
319,SC,60
319,SD,11
319,TN,154
319,TX,143
319,UT,78
319,VA,94
319,VI,3
319,VT,22
319,WA,1535
319,WI,155
319,WV,2
319,WY,18
318,AK,6
318,AL,46
318,AR,33
318,AS,
318,AZ,28
318,CA,611
318,CO,183
318,CT,68
318,DC,31
318,DE,25
318,FL,314
318,GA,197
318,GU,8
318,HI,14
318,IA,29
318,ID,9
318,IL,288
318,IN,39
318,KS,16
318,KY,26
318,LA,240
318,MA,256
318,MD,85
318,ME,43
318,MI,80
318,MN,77
318,MO,13
318,MP,0
318,MS,34
318,MT,10
318,NC,63
318,ND,6
318,NE,24
318,NH,26
318,NJ,427
318,NM,28
318,NV,55
318,NY,2382
318,OH,88
318,OK,29
318,OR,75
318,PA,133
318,PR,5
318,RI,33
318,SC,60
318,SD,11
318,TN,98
318,TX,83
318,UT,63
318,VA,77
318,VI,2
318,VT,19
318,WA,1388
318,WI,106
318,WV,1
318,WY,15
317,AK,3
317,AL,36
317,AR,22
317,AS,
317,AZ,20
317,CA,483
317,CO,160
317,CT,41
317,DC,22
317,DE,16
317,FL,186
317,GA,146
317,GU,5
317,HI,10
317,IA,23
317,ID,7
317,IL,159
317,IN,30
317,KS,15
317,KY,22
317,LA,171
317,MA,218
317,MD,57
317,ME,32
317,MI,65
317,MN,60
317,MO,8
317,MP,0
317,MS,21
317,MT,8
317,NC,40
317,ND,3
317,NE,21
317,NH,17
317,NJ,267
317,NM,23
317,NV,55
317,NY,1700
317,OH,67
317,OK,17
317,OR,47
317,PA,96
317,PR,5
317,RI,23
317,SC,33
317,SD,11
317,TN,73
317,TX,64
317,UT,51
317,VA,67
317,VI,2
317,VT,10
317,WA,1218
317,WI,72
317,WV,0
317,WY,10
316,AK,1
316,AL,28
316,AR,22
316,AS,
316,AZ,18
316,CA,335
316,CO,131
316,CT,26
316,DC,17
316,DE,8
316,FL,141
316,GA,121
316,GU,3
316,HI,7
316,IA,22
316,ID,5
316,IL,93
316,IN,24
316,KS,11
316,KY,21
316,LA,114
316,MA,164
316,MD,37
316,ME,17
316,MI,53
316,MN,54
316,MO,6
316,MP,0
316,MS,12
316,MT,7
316,NC,33
316,ND,1
316,NE,18
316,NH,13
316,NJ,178
316,NM,17
316,NV,45
316,NY,950
316,OH,50
316,OK,10
316,OR,39
316,PA,76
316,PR,5
316,RI,21
316,SC,28
316,SD,10
316,TN,52
316,TX,57
316,UT,39
316,VA,51
316,VI,1
316,VT,8
316,WA,1052
316,WI,47
316,WV,0
316,WY,3
315,AK,1
315,AL,12
315,AR,16
315,AZ,12
315,CA,293
315,CO,131
315,CT,20
315,DC,16
315,DE,6
315,FL,116
315,GA,99
315,HI,2
315,IA,18
315,ID,5
315,IL,64
315,IN,19
315,KS,8
315,KY,16
315,LA,91
315,MA,138
315,MD,31
315,ME,3
315,MI,33
315,MN,35
315,MO,5
315,MS,10
315,MT,7
315,NC,32
315,ND,1
315,NE,17
315,NH,13
315,NJ,98
315,NM,13
315,NV,21
315,NY,729
315,OH,36
315,OK,9
315,OR,36
315,PA,63
315,RI,20
315,SC,19
315,SD,9
315,TN,39
315,TX,56
315,UT,28
315,VA,45
315,VT,4
315,WA,924
315,WI,33
315,WV,0
315,WY,3
314,AK,1
314,AL,6
314,AR,12
314,AZ,12
314,CA,252
314,CO,101
314,CT,11
314,DC,10
314,DE,6
314,FL,77
314,GA,66
314,HI,2
314,IA,17
314,ID,2
314,IL,46
314,IN,15
314,KS,6
314,KY,14
314,LA,69
314,MA,138
314,MD,26
314,ME,3
314,MI,25
314,MN,21
314,MO,4
314,MS,6
314,MT,5
314,NC,23
314,ND,1
314,NE,14
314,NH,7
314,NJ,50
314,NM,10
314,NV,20
314,NY,524
314,OH,13
314,OK,4
314,OR,30
314,PA,47
314,RI,20
314,SC,13
314,SD,9
314,TN,32
314,TX,51
314,UT,6
314,VA,30
314,VT,4
314,WA,793
314,WI,19
314,WV,0
314,WY,2
313,AK,1
313,AL,1
313,AR,9
313,AZ,9
313,CA,202
313,CO,72
313,CT,6
313,DC,10
313,DE,4
313,FL,50
313,GA,42
313,HI,2
313,IA,16
313,ID,0
313,IL,32
313,IN,12
313,KS,6
313,KY,11
313,LA,36
313,MA,123
313,MD,17
313,ME,3
313,MI,16
313,MN,14
313,MO,2
313,MS,4
313,MT,1
313,NC,15
313,ND,1
313,NE,13
313,NH,6
313,NJ,50
313,NM,10
313,NV,11
313,NY,421
313,OH,13
313,OK,3
313,OR,30
313,PA,41
313,RI,14
313,SC,12
313,SD,9
313,TN,26
313,TX,39
313,UT,6
313,VA,30
313,VT,2
313,WA,693
313,WI,19
313,WV,0
313,WY,1
312,AK,0
312,AL,0
312,AR,6
312,AZ,9
312,CA,202
312,CO,45
312,CT,6
312,DC,10
312,DE,4
312,FL,32
312,GA,31
312,HI,2
312,IA,14
312,ID,0
312,IL,25
312,IN,12
312,KS,4
312,KY,8
312,LA,14
312,MA,95
312,MD,12
312,ME,1
312,MI,2
312,MN,9
312,MO,1
312,MS,1
312,MT,1
312,NC,12
312,ND,1
312,NE,10
312,NH,6
312,NJ,30
312,NM,5
312,NV,7
312,NY,216
312,OH,5
312,OK,3
312,OR,19
